Epoch [1/70], Train Loss: 0.8063, Valid Loss: 0.7988
Epoch [2/70], Train Loss: 0.8065, Valid Loss: 0.7985
Epoch [3/70], Train Loss: 0.8071, Valid Loss: 0.7978
Epoch [4/70], Train Loss: 0.8026, Valid Loss: 0.7955
Epoch [5/70], Train Loss: 0.7992, Valid Loss: 0.7870
Epoch [6/70], Train Loss: 0.7842, Valid Loss: 0.7648
Epoch [7/70], Train Loss: 0.7605, Valid Loss: 0.7416
Epoch [8/70], Train Loss: 0.7433, Valid Loss: 0.7302
Epoch [9/70], Train Loss: 0.7319, Valid Loss: 0.7143
Epoch [10/70], Train Loss: 0.7219, Valid Loss: 0.7006
Epoch [11/70], Train Loss: 0.7171, Valid Loss: 0.6935
Epoch [12/70], Train Loss: 0.7121, Valid Loss: 0.6880
Epoch [13/70], Train Loss: 0.7035, Valid Loss: 0.6880
Epoch [14/70], Train Loss: 0.7127, Valid Loss: 0.6819
Epoch [15/70], Train Loss: 0.7006, Valid Loss: 0.6795
Epoch [16/70], Train Loss: 0.7022, Valid Loss: 0.6757
Epoch [17/70], Train Loss: 0.6985, Valid Loss: 0.6673
Epoch [18/70], Train Loss: 0.6906, Valid Loss: 0.6525
Epoch [19/70], Train Loss: 0.6692, Valid Loss: 0.6132
Epoch [20/70], Train Loss: 0.6272, Valid Loss: 0.5248
Epoch [21/70], Train Loss: 0.5674, Valid Loss: 0.4467
Epoch [22/70], Train Loss: 0.5158, Valid Loss: 0.4016
Epoch [23/70], Train Loss: 0.4703, Valid Loss: 0.4180
Epoch [24/70], Train Loss: 0.4763, Valid Loss: 0.3546
Epoch [25/70], Train Loss: 0.4358, Valid Loss: 0.3477
Epoch [26/70], Train Loss: 0.4342, Valid Loss: 0.3660
Epoch [27/70], Train Loss: 0.4287, Valid Loss: 0.3047
Epoch [28/70], Train Loss: 0.3854, Valid Loss: 0.2847
Epoch [29/70], Train Loss: 0.3718, Valid Loss: 0.2734
Epoch [30/70], Train Loss: 0.3897, Valid Loss: 0.2874
Epoch [31/70], Train Loss: 0.3433, Valid Loss: 0.2506
Epoch [32/70], Train Loss: 0.3223, Valid Loss: 0.2475
Epoch [33/70], Train Loss: 0.3245, Valid Loss: 0.2286
Epoch [34/70], Train Loss: 0.3160, Valid Loss: 0.2271
Epoch [35/70], Train Loss: 0.3120, Valid Loss: 0.2323
Epoch [36/70], Train Loss: 0.3379, Valid Loss: 0.2329
Epoch [37/70], Train Loss: 0.3002, Valid Loss: 0.2144
Epoch [38/70], Train Loss: 0.2777, Valid Loss: 0.2055
Epoch [39/70], Train Loss: 0.2784, Valid Loss: 0.2190
Epoch [40/70], Train Loss: 0.3042, Valid Loss: 0.2216
Epoch [41/70], Train Loss: 0.2794, Valid Loss: 0.2023
Epoch [42/70], Train Loss: 0.2812, Valid Loss: 0.2004
Epoch [43/70], Train Loss: 0.2691, Valid Loss: 0.2030
Epoch [44/70], Train Loss: 0.2622, Valid Loss: 0.2052
Epoch [45/70], Train Loss: 0.2616, Valid Loss: 0.1969
Epoch [46/70], Train Loss: 0.2460, Valid Loss: 0.2067
Epoch [47/70], Train Loss: 0.2572, Valid Loss: 0.1943
Epoch [48/70], Train Loss: 0.2392, Valid Loss: 0.2031
Epoch [49/70], Train Loss: 0.2606, Valid Loss: 0.1870
Epoch [50/70], Train Loss: 0.2594, Valid Loss: 0.1895
Epoch [51/70], Train Loss: 0.2543, Valid Loss: 0.2305
Epoch [52/70], Train Loss: 0.2864, Valid Loss: 0.1938
Epoch [53/70], Train Loss: 0.2527, Valid Loss: 0.2210
Epoch [54/70], Train Loss: 0.2630, Valid Loss: 0.1927
Epoch [55/70], Train Loss: 0.2400, Valid Loss: 0.1918
Epoch [56/70], Train Loss: 0.2399, Valid Loss: 0.2500
Epoch [57/70], Train Loss: 0.2547, Valid Loss: 0.1865
Epoch [58/70], Train Loss: 0.2621, Valid Loss: 0.2048
Epoch [59/70], Train Loss: 0.2460, Valid Loss: 0.1909
Epoch [60/70], Train Loss: 0.2444, Valid Loss: 0.1847
Epoch [61/70], Train Loss: 0.2443, Valid Loss: 0.1790
Epoch [62/70], Train Loss: 0.2269, Valid Loss: 0.1792
Epoch [63/70], Train Loss: 0.2220, Valid Loss: 0.2120
Epoch [64/70], Train Loss: 0.2332, Valid Loss: 0.2042
Epoch [65/70], Train Loss: 0.2237, Valid Loss: 0.2024
Epoch [66/70], Train Loss: 0.2340, Valid Loss: 0.1886
Epoch [67/70], Train Loss: 0.2176, Valid Loss: 0.1726
Epoch [68/70], Train Loss: 0.2203, Valid Loss: 0.1773
Epoch [69/70], Train Loss: 0.2318, Valid Loss: 0.2451
Epoch [70/70], Train Loss: 0.2226, Valid Loss: 0.1761
