Epoch [1/150], Train Loss: 0.8068, Valid Loss: 0.8052
Epoch [2/150], Train Loss: 0.8067, Valid Loss: 0.8052
Epoch [3/150], Train Loss: 0.8066, Valid Loss: 0.8051
Epoch [4/150], Train Loss: 0.8065, Valid Loss: 0.8049
Epoch [5/150], Train Loss: 0.8063, Valid Loss: 0.8046
Epoch [6/150], Train Loss: 0.8059, Valid Loss: 0.8039
Epoch [7/150], Train Loss: 0.8047, Valid Loss: 0.8021
Epoch [8/150], Train Loss: 0.8021, Valid Loss: 0.7982
Epoch [9/150], Train Loss: 0.7968, Valid Loss: 0.7910
Epoch [10/150], Train Loss: 0.7880, Valid Loss: 0.7799
Epoch [11/150], Train Loss: 0.7760, Valid Loss: 0.7670
Epoch [12/150], Train Loss: 0.7641, Valid Loss: 0.7561
Epoch [13/150], Train Loss: 0.7553, Valid Loss: 0.7497
Epoch [14/150], Train Loss: 0.7504, Valid Loss: 0.7459
Epoch [15/150], Train Loss: 0.7472, Valid Loss: 0.7430
Epoch [16/150], Train Loss: 0.7441, Valid Loss: 0.7394
Epoch [17/150], Train Loss: 0.7402, Valid Loss: 0.7347
Epoch [18/150], Train Loss: 0.7355, Valid Loss: 0.7289
Epoch [19/150], Train Loss: 0.7304, Valid Loss: 0.7231
Epoch [20/150], Train Loss: 0.7258, Valid Loss: 0.7184
Epoch [21/150], Train Loss: 0.7222, Valid Loss: 0.7143
Epoch [22/150], Train Loss: 0.7189, Valid Loss: 0.7104
Epoch [23/150], Train Loss: 0.7163, Valid Loss: 0.7075
Epoch [24/150], Train Loss: 0.7139, Valid Loss: 0.7045
Epoch [25/150], Train Loss: 0.7118, Valid Loss: 0.7022
Epoch [26/150], Train Loss: 0.7100, Valid Loss: 0.7003
Epoch [27/150], Train Loss: 0.7084, Valid Loss: 0.6977
Epoch [28/150], Train Loss: 0.7067, Valid Loss: 0.6965
Epoch [29/150], Train Loss: 0.7053, Valid Loss: 0.6944
Epoch [30/150], Train Loss: 0.7042, Valid Loss: 0.6927
Epoch [31/150], Train Loss: 0.7025, Valid Loss: 0.6908
Epoch [32/150], Train Loss: 0.7012, Valid Loss: 0.6893
Epoch [33/150], Train Loss: 0.7000, Valid Loss: 0.6871
Epoch [34/150], Train Loss: 0.6985, Valid Loss: 0.6858
Epoch [35/150], Train Loss: 0.6971, Valid Loss: 0.6837
Epoch [36/150], Train Loss: 0.6958, Valid Loss: 0.6819
Epoch [37/150], Train Loss: 0.6943, Valid Loss: 0.6804
Epoch [38/150], Train Loss: 0.6925, Valid Loss: 0.6778
Epoch [39/150], Train Loss: 0.6908, Valid Loss: 0.6760
Epoch [40/150], Train Loss: 0.6889, Valid Loss: 0.6728
Epoch [41/150], Train Loss: 0.6866, Valid Loss: 0.6703
Epoch [42/150], Train Loss: 0.6845, Valid Loss: 0.6668
Epoch [43/150], Train Loss: 0.6815, Valid Loss: 0.6625
Epoch [44/150], Train Loss: 0.6781, Valid Loss: 0.6586
Epoch [45/150], Train Loss: 0.6739, Valid Loss: 0.6526
Epoch [46/150], Train Loss: 0.6697, Valid Loss: 0.6466
Epoch [47/150], Train Loss: 0.6635, Valid Loss: 0.6379
Epoch [48/150], Train Loss: 0.6563, Valid Loss: 0.6290
Epoch [49/150], Train Loss: 0.6477, Valid Loss: 0.6167
Epoch [50/150], Train Loss: 0.6374, Valid Loss: 0.6009
Epoch [51/150], Train Loss: 0.6246, Valid Loss: 0.5834
Epoch [52/150], Train Loss: 0.6097, Valid Loss: 0.5652
Epoch [53/150], Train Loss: 0.5941, Valid Loss: 0.5461
Epoch [54/150], Train Loss: 0.5774, Valid Loss: 0.5238
Epoch [55/150], Train Loss: 0.5635, Valid Loss: 0.5083
Epoch [56/150], Train Loss: 0.5481, Valid Loss: 0.4857
Epoch [57/150], Train Loss: 0.5362, Valid Loss: 0.4692
Epoch [58/150], Train Loss: 0.5220, Valid Loss: 0.4577
Epoch [59/150], Train Loss: 0.5116, Valid Loss: 0.4417
Epoch [60/150], Train Loss: 0.5017, Valid Loss: 0.4357
Epoch [61/150], Train Loss: 0.4941, Valid Loss: 0.4210
Epoch [62/150], Train Loss: 0.4882, Valid Loss: 0.4177
Epoch [63/150], Train Loss: 0.4799, Valid Loss: 0.4071
Epoch [64/150], Train Loss: 0.4732, Valid Loss: 0.3963
Epoch [65/150], Train Loss: 0.4686, Valid Loss: 0.4027
Epoch [66/150], Train Loss: 0.4642, Valid Loss: 0.3835
Epoch [67/150], Train Loss: 0.4562, Valid Loss: 0.3767
Epoch [68/150], Train Loss: 0.4538, Valid Loss: 0.3742
Epoch [69/150], Train Loss: 0.4479, Valid Loss: 0.3694
Epoch [70/150], Train Loss: 0.4431, Valid Loss: 0.3598
Epoch [71/150], Train Loss: 0.4390, Valid Loss: 0.3542
Epoch [72/150], Train Loss: 0.4349, Valid Loss: 0.3546
Epoch [73/150], Train Loss: 0.4318, Valid Loss: 0.3471
Epoch [74/150], Train Loss: 0.4257, Valid Loss: 0.3405
Epoch [75/150], Train Loss: 0.4244, Valid Loss: 0.3465
Epoch [76/150], Train Loss: 0.4219, Valid Loss: 0.3410
Epoch [77/150], Train Loss: 0.4178, Valid Loss: 0.3331
Epoch [78/150], Train Loss: 0.4147, Valid Loss: 0.3247
Epoch [79/150], Train Loss: 0.4097, Valid Loss: 0.3271
Epoch [80/150], Train Loss: 0.4044, Valid Loss: 0.3170
Epoch [81/150], Train Loss: 0.4028, Valid Loss: 0.3134
Epoch [82/150], Train Loss: 0.3993, Valid Loss: 0.3141
Epoch [83/150], Train Loss: 0.3959, Valid Loss: 0.3083
Epoch [84/150], Train Loss: 0.3915, Valid Loss: 0.3039
Epoch [85/150], Train Loss: 0.3904, Valid Loss: 0.3009
Epoch [86/150], Train Loss: 0.3902, Valid Loss: 0.2974
Epoch [87/150], Train Loss: 0.3847, Valid Loss: 0.3010
Epoch [88/150], Train Loss: 0.3812, Valid Loss: 0.2934
Epoch [89/150], Train Loss: 0.3777, Valid Loss: 0.2887
Epoch [90/150], Train Loss: 0.3751, Valid Loss: 0.2884
Epoch [91/150], Train Loss: 0.3736, Valid Loss: 0.2831
Epoch [92/150], Train Loss: 0.3698, Valid Loss: 0.2833
Epoch [93/150], Train Loss: 0.3692, Valid Loss: 0.2789
Epoch [94/150], Train Loss: 0.3657, Valid Loss: 0.2799
Epoch [95/150], Train Loss: 0.3627, Valid Loss: 0.2743
Epoch [96/150], Train Loss: 0.3606, Valid Loss: 0.2727
Epoch [97/150], Train Loss: 0.3580, Valid Loss: 0.2686
Epoch [98/150], Train Loss: 0.3583, Valid Loss: 0.2661
Epoch [99/150], Train Loss: 0.3560, Valid Loss: 0.2637
Epoch [100/150], Train Loss: 0.3544, Valid Loss: 0.2617
Epoch [101/150], Train Loss: 0.3504, Valid Loss: 0.2683
Epoch [102/150], Train Loss: 0.3484, Valid Loss: 0.2576
Epoch [103/150], Train Loss: 0.3459, Valid Loss: 0.2565
Epoch [104/150], Train Loss: 0.3472, Valid Loss: 0.2563
Epoch [105/150], Train Loss: 0.3446, Valid Loss: 0.2574
Epoch [106/150], Train Loss: 0.3397, Valid Loss: 0.2505
Epoch [107/150], Train Loss: 0.3400, Valid Loss: 0.2486
Epoch [108/150], Train Loss: 0.3371, Valid Loss: 0.2467
Epoch [109/150], Train Loss: 0.3359, Valid Loss: 0.2502
Epoch [110/150], Train Loss: 0.3334, Valid Loss: 0.2433
Epoch [111/150], Train Loss: 0.3318, Valid Loss: 0.2418
Epoch [112/150], Train Loss: 0.3303, Valid Loss: 0.2419
Epoch [113/150], Train Loss: 0.3276, Valid Loss: 0.2406
Epoch [114/150], Train Loss: 0.3265, Valid Loss: 0.2381
Epoch [115/150], Train Loss: 0.3287, Valid Loss: 0.2362
Epoch [116/150], Train Loss: 0.3256, Valid Loss: 0.2346
Epoch [117/150], Train Loss: 0.3231, Valid Loss: 0.2346
Epoch [118/150], Train Loss: 0.3206, Valid Loss: 0.2386
Epoch [119/150], Train Loss: 0.3195, Valid Loss: 0.2315
Epoch [120/150], Train Loss: 0.3206, Valid Loss: 0.2372
Epoch [121/150], Train Loss: 0.3145, Valid Loss: 0.2292
Epoch [122/150], Train Loss: 0.3187, Valid Loss: 0.2311
Epoch [123/150], Train Loss: 0.3128, Valid Loss: 0.2269
Epoch [124/150], Train Loss: 0.3146, Valid Loss: 0.2254
Epoch [125/150], Train Loss: 0.3111, Valid Loss: 0.2320
Epoch [126/150], Train Loss: 0.3119, Valid Loss: 0.2225
Epoch [127/150], Train Loss: 0.3089, Valid Loss: 0.2233
Epoch [128/150], Train Loss: 0.3074, Valid Loss: 0.2205
Epoch [129/150], Train Loss: 0.3060, Valid Loss: 0.2194
Epoch [130/150], Train Loss: 0.3052, Valid Loss: 0.2200
Epoch [131/150], Train Loss: 0.3034, Valid Loss: 0.2190
Epoch [132/150], Train Loss: 0.3021, Valid Loss: 0.2165
Epoch [133/150], Train Loss: 0.3009, Valid Loss: 0.2160
Epoch [134/150], Train Loss: 0.3012, Valid Loss: 0.2158
Epoch [135/150], Train Loss: 0.2984, Valid Loss: 0.2147
Epoch [136/150], Train Loss: 0.2958, Valid Loss: 0.2175
Epoch [137/150], Train Loss: 0.2979, Valid Loss: 0.2124
Epoch [138/150], Train Loss: 0.2951, Valid Loss: 0.2129
Epoch [139/150], Train Loss: 0.2968, Valid Loss: 0.2110
Epoch [140/150], Train Loss: 0.2944, Valid Loss: 0.2099
Epoch [141/150], Train Loss: 0.2931, Valid Loss: 0.2099
Epoch [142/150], Train Loss: 0.2928, Valid Loss: 0.2093
Epoch [143/150], Train Loss: 0.2910, Valid Loss: 0.2082
Epoch [144/150], Train Loss: 0.2911, Valid Loss: 0.2086
Epoch [145/150], Train Loss: 0.2909, Valid Loss: 0.2099
Epoch [146/150], Train Loss: 0.2935, Valid Loss: 0.2067
Epoch [147/150], Train Loss: 0.2862, Valid Loss: 0.2053
Epoch [148/150], Train Loss: 0.2864, Valid Loss: 0.2096
Epoch [149/150], Train Loss: 0.2872, Valid Loss: 0.2044
Epoch [150/150], Train Loss: 0.2839, Valid Loss: 0.2078
