Epoch [1/200], Train Loss: 0.8054, Valid Loss: 0.8038
Epoch [2/200], Train Loss: 0.8053, Valid Loss: 0.8037
Epoch [3/200], Train Loss: 0.8051, Valid Loss: 0.8036
Epoch [4/200], Train Loss: 0.8050, Valid Loss: 0.8034
Epoch [5/200], Train Loss: 0.8048, Valid Loss: 0.8032
Epoch [6/200], Train Loss: 0.8045, Valid Loss: 0.8028
Epoch [7/200], Train Loss: 0.8040, Valid Loss: 0.8021
Epoch [8/200], Train Loss: 0.8029, Valid Loss: 0.8004
Epoch [9/200], Train Loss: 0.8004, Valid Loss: 0.7969
Epoch [10/200], Train Loss: 0.7959, Valid Loss: 0.7908
Epoch [11/200], Train Loss: 0.7886, Valid Loss: 0.7820
Epoch [12/200], Train Loss: 0.7791, Valid Loss: 0.7712
Epoch [13/200], Train Loss: 0.7685, Valid Loss: 0.7612
Epoch [14/200], Train Loss: 0.7598, Valid Loss: 0.7535
Epoch [15/200], Train Loss: 0.7537, Valid Loss: 0.7488
Epoch [16/200], Train Loss: 0.7496, Valid Loss: 0.7450
Epoch [17/200], Train Loss: 0.7459, Valid Loss: 0.7409
Epoch [18/200], Train Loss: 0.7413, Valid Loss: 0.7351
Epoch [19/200], Train Loss: 0.7353, Valid Loss: 0.7279
Epoch [20/200], Train Loss: 0.7296, Valid Loss: 0.7223
Epoch [21/200], Train Loss: 0.7253, Valid Loss: 0.7179
Epoch [22/200], Train Loss: 0.7218, Valid Loss: 0.7141
Epoch [23/200], Train Loss: 0.7192, Valid Loss: 0.7115
Epoch [24/200], Train Loss: 0.7170, Valid Loss: 0.7089
Epoch [25/200], Train Loss: 0.7150, Valid Loss: 0.7070
Epoch [26/200], Train Loss: 0.7135, Valid Loss: 0.7055
Epoch [27/200], Train Loss: 0.7121, Valid Loss: 0.7035
Epoch [28/200], Train Loss: 0.7108, Valid Loss: 0.7027
Epoch [29/200], Train Loss: 0.7097, Valid Loss: 0.7011
Epoch [30/200], Train Loss: 0.7088, Valid Loss: 0.6999
Epoch [31/200], Train Loss: 0.7076, Valid Loss: 0.6986
Epoch [32/200], Train Loss: 0.7066, Valid Loss: 0.6976
Epoch [33/200], Train Loss: 0.7057, Valid Loss: 0.6962
Epoch [34/200], Train Loss: 0.7047, Valid Loss: 0.6953
